; Add your modelines here
; Original modelines were found here https://www.geocities.ws/podernixie/htpc/modes-en.html

;Name                  Pclock HDis HStr HEnd HTot VDsp VStr VEnd VTot Int
;NTSC
[256x240  NTSC (60Hz)] 4.905  256  264  287  312  240  241  244  262  0
[320x240 NTSC (60Hz)]  6.700  320  336  367  426  240  244  247  262  0
[320x480i NTSC (60Hz)] 6.700  320  336  367  426  480  488  493  525  1
[640x480i NTSC (60Hz)] 12.336 640  662  720  784  480  488  494  525  1
[720x480i NTSC (60Hz)] 13.846 720  744  809  880  480  488  494  525  1
;PAL
[256x240  PAL (50Hz)]  5.320  256  269  294  341  240  270  273  312  0
[320x240  PAL (50Hz)]  6.660  320  336  367  426  240  270  273  312  0
[320x480i PAL (50Hz)]  6.660  320  336  367  426  480  540  545  625  1
[640x480i PAL (50Hz)]  13.320 640  672  734  852  480  540  545  625  1
[720x576i PAL (50Hz)]  13.875 720  741  806  888  576  581  586  625  1
